time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-26 12:00:00,30.8,35,995.0,19.3,21.1,21.4,21.4,307,307,306,306,850.8,862.1,2023-06-26 11:14:42.205971,1
2023-06-26 13:00:00,32.1,30,994.5,21.5,23.3,23.6,24.1,305,305,304,305,867.6,870.6,2023-06-26 11:14:42.205971,1
2023-06-26 14:00:00,32.9,28,994.0,21.7,23.8,24.0,24.3,306,305,306,305,868.8,863.8,2023-06-26 11:14:42.205971,1
2023-06-26 15:00:00,33.4,29,993.5,22.2,24.5,24.5,25.0,306,306,306,306,858.2,836.8,2023-06-26 11:14:42.205971,1
2023-06-26 16:00:00,33.7,29,992.8,21.3,23.8,24.3,24.6,309,308,308,308,754.1,645.0,2023-06-26 11:14:42.205971,1
2023-06-26 17:00:00,33.7,28,992.3,21.4,24.5,25.0,25.3,306,306,306,306,483.7,337.5,2023-06-26 11:14:42.205971,1
2023-06-26 18:00:00,33.0,29,992.2,22.7,27.0,27.5,27.5,312,312,312,312,353.6,387.9,2023-06-26 11:14:42.205971,1
2023-06-26 19:00:00,32.0,29,992.9,20.6,25.7,26.0,26.2,317,317,317,317,351.6,288.6,2023-06-26 11:14:42.205971,1
2023-06-26 20:00:00,30.6,35,993.1,20.4,29.1,31.7,32.5,319,320,321,321,88.7,0.0,2023-06-26 11:14:42.205971,1
2023-06-26 21:00:00,28.6,48,993.9,22.8,32.7,35.1,36.5,342,341,341,341,0.0,0.0,2023-06-26 11:14:42.205971,1
2023-06-26 22:00:00,27.3,54,994.4,18.9,27.7,30.0,31.0,346,347,347,347,0.0,0.0,2023-06-26 11:14:42.205971,1
2023-06-26 23:00:00,26.0,58,994.7,17.8,25.2,26.9,27.9,342,343,344,346,0.0,0.0,2023-06-26 11:14:42.205971,1
2023-06-27 00:00:00,25.0,58,994.6,14.0,22.0,24.8,25.4,337,339,341,342,0.0,0.0,2023-06-26 11:14:42.205971,1
2023-06-27 01:00:00,24.0,65,994.3,11.5,19.0,21.6,23.1,328,333,336,339,0.0,0.0,2023-06-26 11:14:42.205971,1
2023-06-27 02:00:00,23.3,69,994.1,10.7,17.9,20.3,22.2,315,322,327,333,0.0,0.0,2023-06-26 11:14:42.205971,1
2023-06-27 03:00:00,22.7,75,993.9,11.5,18.6,21.1,22.6,311,317,323,331,0.0,0.0,2023-06-26 11:14:42.205971,1
2023-06-27 04:00:00,22.1,81,993.9,11.2,18.9,21.4,22.3,315,321,327,337,0.0,0.0,2023-06-26 11:14:42.205971,1
2023-06-27 05:00:00,21.6,85,994.0,10.0,17.8,20.0,20.3,322,328,337,347,0.0,0.0,2023-06-26 11:14:42.205971,1
2023-06-27 06:00:00,21.2,87,994.4,9.0,16.0,17.8,17.6,331,337,346,359,2.0,55.9,2023-06-26 11:14:42.205971,1
2023-06-27 07:00:00,21.8,84,994.9,8.4,12.9,14.8,14.9,340,347,360,15,183.5,336.0,2023-06-26 11:14:42.205971,1
2023-06-27 08:00:00,23.2,75,995.4,7.2,7.9,8.3,10.5,357,360,2,31,459.1,573.0,2023-06-26 11:14:42.205971,1
2023-06-27 09:00:00,24.9,64,995.5,5.1,5.9,6.2,6.2,8,11,10,10,639.9,692.9,2023-06-26 11:14:42.205971,1
2023-06-27 10:00:00,26.6,56,995.5,5.4,6.1,6.1,6.1,360,360,360,3,718.7,740.2,2023-06-26 11:14:42.205971,1
2023-06-27 11:00:00,28.4,48,995.5,6.9,7.6,7.6,7.6,351,355,355,357,769.3,798.5,2023-06-26 11:14:42.205971,1
2023-06-27 12:00:00,30.1,42,995.3,9.1,9.8,10.1,10.1,353,354,356,356,819.5,835.2,2023-06-26 11:14:42.205971,1
2023-06-27 13:00:00,31.5,38,994.9,11.5,12.3,12.6,12.6,356,357,358,358,832.5,824.1,2023-06-26 11:14:42.205971,1
