time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-09 23:00:00,17.9,76,1010.3,12.0,23.3,26.7,28.7,51,52,53,55,0.0,0.0,2023-06-09 22:15:00,1
2023-06-10 00:00:00,16.9,80,1010.1,11.5,21.9,25.0,30.0,46,46,47,52,0.0,0.0,2023-06-09 22:15:00,1
2023-06-10 01:00:00,16.1,82,1010.1,11.5,22.1,26.5,31.1,46,46,47,55,0.0,0.0,2023-06-09 22:15:00,1
2023-06-10 02:00:00,15.5,83,1009.9,10.7,20.9,26.8,30.6,45,45,48,58,0.0,0.0,2023-06-09 22:15:00,1
2023-06-10 03:00:00,15.0,84,1009.8,8.4,19.1,24.7,28.3,50,49,53,63,0.0,0.0,2023-06-09 22:15:00,1
2023-06-10 04:00:00,14.7,85,1009.7,8.9,20.6,25.3,28.7,47,47,54,65,0.0,0.0,2023-06-09 22:15:00,1
2023-06-10 05:00:00,14.5,86,1009.6,8.2,19.9,24.4,27.4,49,48,56,67,0.0,0.0,2023-06-09 22:15:00,1
2023-06-10 06:00:00,14.7,85,1009.6,8.2,19.1,23.2,26.5,49,49,57,68,0.0,171.7,2023-06-09 22:15:00,1
2023-06-10 07:00:00,16.0,79,1009.6,8.4,15.1,21.3,25.5,50,50,56,67,289.2,423.3,2023-06-09 22:15:00,1
2023-06-10 08:00:00,17.7,72,1009.8,8.4,12.2,12.9,20.0,65,66,67,72,501.5,570.0,2023-06-09 22:15:00,1
2023-06-10 09:00:00,19.9,66,1009.9,11.1,16.1,16.9,17.6,65,66,66,67,625.1,676.5,2023-06-09 22:15:00,1
2023-06-10 10:00:00,22.1,59,1010.1,12.7,18.3,18.9,19.7,75,75,76,75,722.1,757.0,2023-06-09 22:15:00,1
2023-06-10 11:00:00,24.2,53,1010.2,11.8,16.6,17.3,17.7,78,77,78,78,745.0,720.4,2023-06-09 22:15:00,1
2023-06-10 12:00:00,25.9,45,1010.0,12.7,18.2,18.9,19.2,82,82,82,82,690.2,657.2,2023-06-09 22:15:00,1
2023-06-10 13:00:00,27.2,41,1009.8,13.4,19.1,20.2,20.5,84,86,86,87,619.7,600.7,2023-06-09 22:15:00,1
2023-06-10 14:00:00,28.4,37,1009.6,15.1,22.0,22.7,23.4,90,91,92,93,681.8,772.7,2023-06-09 22:15:00,1
2023-06-10 15:00:00,28.7,36,1009.5,16.2,24.1,24.8,25.6,89,90,90,91,793.5,800.1,2023-06-09 22:15:00,1
2023-06-10 16:00:00,27.9,37,1009.4,19.1,29.2,30.7,31.7,93,94,93,93,801.1,798.4,2023-06-09 22:15:00,1
2023-06-10 17:00:00,27.3,42,1009.2,17.6,27.4,28.8,29.5,90,92,91,92,793.4,783.5,2023-06-09 22:15:00,1
2023-06-10 18:00:00,26.7,43,1009.3,16.2,25.9,27.4,28.5,91,92,93,93,764.4,728.5,2023-06-09 22:15:00,1
2023-06-10 19:00:00,25.4,46,1009.6,15.1,24.9,26.3,27.4,93,93,93,94,631.0,525.9,2023-06-09 22:15:00,1
2023-06-10 20:00:00,23.9,49,1010.1,13.7,24.1,26.3,28.5,92,93,92,92,476.8,423.8,2023-06-09 22:15:00,1
2023-06-10 21:00:00,22.2,56,1010.8,11.6,20.6,22.4,24.2,85,85,85,85,263.3,43.4,2023-06-09 22:15:00,1
2023-06-10 22:00:00,20.8,62,1011.1,11.0,20.8,23.4,25.9,79,80,80,80,3.6,0.0,2023-06-09 22:15:00,1
2023-06-10 23:00:00,19.9,63,1011.1,11.2,20.8,23.6,26.6,69,72,74,77,0.0,0.0,2023-06-09 22:15:00,1
