time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-25 18:00:00,35.4,27,993.6,24.8,30.1,30.4,30.9,279,281,281,281,659.3,576.5,2023-06-25 17:31:09.227351,1
2023-06-25 19:00:00,34.4,29,994.0,28.9,38.5,40.1,41.3,276,278,279,280,460.8,330.4,2023-06-25 17:31:09.227351,1
2023-06-25 20:00:00,33.2,30,994.0,22.2,30.8,33.4,35.3,302,305,307,310,100.3,0.0,2023-06-25 17:31:09.227351,1
2023-06-25 21:00:00,30.3,30,994.8,25.3,35.7,39.9,38.4,50,53,56,58,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-25 22:00:00,29.0,33,994.9,21.8,32.2,35.2,33.8,68,68,68,66,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-25 23:00:00,27.7,39,995.2,11.2,19.6,22.3,22.4,57,64,69,71,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-26 00:00:00,26.5,44,994.9,7.7,14.5,16.5,16.4,53,63,70,75,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-26 01:00:00,25.8,47,994.7,4.9,10.9,12.4,10.2,54,73,80,82,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-26 02:00:00,25.1,50,994.3,3.0,6.2,7.2,2.9,14,69,87,83,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-26 03:00:00,24.3,53,993.8,3.6,1.4,0.8,3.7,307,360,117,281,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-26 04:00:00,23.4,59,993.3,5.2,8.6,8.4,10.0,286,285,280,283,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-26 05:00:00,23.0,61,993.2,9.1,18.2,19.6,18.2,304,308,311,309,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-26 06:00:00,22.5,60,993.6,10.7,20.9,23.7,20.3,327,336,340,337,0.0,55.1,2023-06-25 17:31:09.227351,1
2023-06-26 07:00:00,22.8,70,994.1,11.9,19.8,23.7,21.4,331,333,334,331,190.6,349.6,2023-06-25 17:31:09.227351,1
2023-06-26 08:00:00,23.8,70,994.6,15.7,18.0,18.0,24.0,323,323,323,327,469.4,579.1,2023-06-25 17:31:09.227351,1
2023-06-26 09:00:00,25.2,64,994.8,14.8,16.1,16.4,16.4,326,326,327,327,651.0,712.4,2023-06-25 17:31:09.227351,1
2023-06-26 10:00:00,27.2,56,994.7,13.8,14.9,14.9,15.4,327,328,328,327,753.8,788.8,2023-06-25 17:31:09.227351,1
2023-06-26 11:00:00,29.1,46,994.7,16.1,17.3,17.6,17.6,320,318,319,319,812.3,832.2,2023-06-25 17:31:09.227351,1
2023-06-26 12:00:00,30.7,38,994.5,18.4,19.9,19.9,20.4,310,311,311,311,845.8,856.9,2023-06-25 17:31:09.227351,1
2023-06-26 13:00:00,32.0,33,993.9,19.7,21.5,21.7,22.0,305,305,306,305,862.8,866.5,2023-06-25 17:31:09.227351,1
2023-06-26 14:00:00,33.0,30,993.5,20.4,22.2,22.2,22.4,302,302,302,303,865.7,861.8,2023-06-25 17:31:09.227351,1
2023-06-26 15:00:00,33.6,29,993.1,20.7,22.7,23.0,23.2,301,303,302,303,852.2,834.5,2023-06-25 17:31:09.227351,1
2023-06-26 16:00:00,33.9,29,992.6,20.6,23.0,23.5,23.8,303,302,302,302,793.9,737.5,2023-06-25 17:31:09.227351,1
2023-06-26 17:00:00,34.1,28,992.1,22.9,26.3,26.8,27.1,300,300,301,300,642.4,543.2,2023-06-25 17:31:09.227351,1
2023-06-26 18:00:00,33.3,29,992.1,23.7,27.8,27.8,28.3,306,307,307,307,488.9,435.5,2023-06-25 17:31:09.227351,1
2023-06-26 19:00:00,32.3,31,992.3,21.4,26.5,27.0,27.0,314,314,314,314,361.9,274.8,2023-06-25 17:31:09.227351,1
2023-06-26 20:00:00,30.7,36,992.7,22.0,30.2,31.8,32.3,320,321,321,321,83.4,0.0,2023-06-25 17:31:09.227351,1
2023-06-26 21:00:00,29.1,44,993.3,23.0,33.2,36.1,37.4,328,328,328,328,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-26 22:00:00,27.3,53,994.1,20.4,28.6,30.1,30.8,346,345,345,346,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-26 23:00:00,26.2,53,994.2,16.0,23.5,25.5,26.0,337,339,341,343,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-27 00:00:00,25.2,60,994.1,12.8,20.1,22.1,22.2,322,327,330,331,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-27 01:00:00,24.3,66,993.8,10.9,18.1,20.2,21.2,316,319,321,325,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-27 02:00:00,23.5,72,993.7,9.4,16.3,18.6,20.5,313,317,319,322,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-27 03:00:00,22.8,77,993.6,8.2,14.8,17.6,20.2,311,315,317,321,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-27 04:00:00,22.2,80,993.4,7.7,14.3,17.1,19.7,307,313,318,322,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-27 05:00:00,21.8,84,993.4,8.4,14.9,17.8,20.0,295,307,313,321,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-27 06:00:00,21.5,86,993.6,9.4,16.4,19.2,20.2,293,303,310,319,0.0,28.0,2023-06-25 17:31:09.227351,1
2023-06-27 07:00:00,22.0,84,994.1,10.6,15.6,18.9,19.7,298,304,312,322,177.3,351.5,2023-06-25 17:31:09.227351,1
2023-06-27 08:00:00,23.1,77,994.7,12.8,14.0,14.0,16.6,310,312,312,326,474.2,580.5,2023-06-25 17:31:09.227351,1
2023-06-27 09:00:00,24.8,67,994.9,10.0,11.1,11.1,11.3,330,331,331,333,630.2,660.5,2023-06-25 17:31:09.227351,1
2023-06-27 10:00:00,26.5,58,994.8,6.0,6.8,7.1,7.1,335,335,336,336,651.5,640.1,2023-06-25 17:31:09.227351,1
2023-06-27 11:00:00,28.2,50,994.6,6.5,7.3,7.6,7.6,326,327,329,329,665.7,695.8,2023-06-25 17:31:09.227351,1
2023-06-27 12:00:00,29.9,43,994.3,9.4,9.7,10.0,10.0,328,329,330,330,709.8,719.3,2023-06-25 17:31:09.227351,1
2023-06-27 13:00:00,31.1,37,993.9,12.8,13.6,13.6,13.6,338,338,338,338,718.7,715.8,2023-06-25 17:31:09.227351,1
2023-06-27 14:00:00,32.0,34,993.6,14.3,15.4,15.4,15.4,342,344,344,344,715.8,713.4,2023-06-25 17:31:09.227351,1
2023-06-27 15:00:00,32.7,33,993.2,13.8,14.9,15.2,15.2,353,353,353,353,700.2,681.4,2023-06-25 17:31:09.227351,1
2023-06-27 16:00:00,33.1,31,992.7,14.2,15.3,15.6,15.6,9,8,8,8,651.9,618.7,2023-06-25 17:31:09.227351,1
2023-06-27 17:00:00,33.3,29,992.4,15.7,17.6,17.9,18.3,16,15,15,15,593.8,554.4,2023-06-25 17:31:09.227351,1
2023-06-27 18:00:00,32.8,31,992.3,19.1,21.3,21.7,21.7,22,22,21,21,445.8,330.5,2023-06-25 17:31:09.227351,1
2023-06-27 19:00:00,32.2,31,992.8,16.4,19.8,20.4,20.4,38,37,36,36,281.4,233.2,2023-06-25 17:31:09.227351,1
2023-06-27 20:00:00,30.9,36,993.2,22.7,31.2,32.4,33.0,41,40,40,40,71.8,0.0,2023-06-25 17:31:09.227351,1
2023-06-27 21:00:00,29.1,44,994.0,23.5,33.2,35.8,37.3,40,41,40,40,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-27 22:00:00,27.5,53,994.6,22.8,31.7,34.3,35.8,39,39,39,39,0.0,0.0,2023-06-25 17:31:09.227351,1
2023-06-27 23:00:00,26.3,57,994.7,17.7,26.4,30.2,33.1,38,38,38,37,0.0,0.0,2023-06-25 17:31:09.227351,1
