time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-25 20:00:00,32.9,31,994.3,19.4,25.9,27.2,27.5,329,331,332,333,93.1,0.0,2023-06-25 19:53:14.791367,1
2023-06-25 21:00:00,30.1,32,994.9,26.7,37.4,41.5,40.9,58,60,62,63,0.0,0.0,2023-06-25 19:53:14.791367,1
2023-06-25 22:00:00,28.9,35,994.9,18.0,27.8,30.9,29.9,70,71,71,68,0.0,0.0,2023-06-25 19:53:14.791367,1
2023-06-25 23:00:00,27.6,40,995.0,9.7,17.3,19.6,19.1,63,69,73,74,0.0,0.0,2023-06-25 19:53:14.791367,1
2023-06-26 00:00:00,26.5,44,994.7,6.3,12.7,14.6,13.4,66,75,81,82,0.0,0.0,2023-06-25 19:53:14.791367,1
2023-06-26 01:00:00,25.8,48,994.6,3.9,9.0,10.8,7.2,68,88,94,93,0.0,0.0,2023-06-25 19:53:14.791367,1
2023-06-26 02:00:00,25.1,51,994.3,2.1,3.3,5.6,1.3,329,84,105,124,0.0,0.0,2023-06-25 19:53:14.791367,1
2023-06-26 03:00:00,23.9,57,993.9,5.2,5.1,3.4,4.1,282,274,252,255,0.0,0.0,2023-06-25 19:53:14.791367,1
2023-06-26 04:00:00,23.6,56,993.4,6.6,13.0,13.0,12.2,279,275,273,272,0.0,0.0,2023-06-25 19:53:14.791367,1
2023-06-26 05:00:00,23.0,59,993.4,10.3,19.8,22.1,20.0,295,299,304,298,0.0,0.0,2023-06-25 19:53:14.791367,1
2023-06-26 06:00:00,22.5,60,993.8,10.2,19.8,21.9,19.9,318,327,333,328,0.0,55.1,2023-06-25 19:53:14.791367,1
2023-06-26 07:00:00,22.8,65,994.3,11.9,19.4,22.7,21.5,325,329,331,329,190.2,349.6,2023-06-25 19:53:14.791367,1
2023-06-26 08:00:00,23.7,70,994.7,15.9,18.4,18.9,26.7,321,321,321,325,470.5,581.7,2023-06-25 19:53:14.791367,1
2023-06-26 09:00:00,25.2,65,994.9,16.4,18.2,18.2,18.5,322,322,322,323,652.4,712.4,2023-06-25 19:53:14.791367,1
2023-06-26 10:00:00,27.2,58,994.7,16.1,17.2,17.4,17.7,326,327,326,327,753.1,787.5,2023-06-25 19:53:14.791367,1
2023-06-26 11:00:00,29.1,48,994.7,16.9,18.2,18.2,18.4,320,321,321,321,809.3,827.7,2023-06-25 19:53:14.791367,1
2023-06-26 12:00:00,30.8,38,994.4,18.9,20.4,20.4,20.9,310,311,311,311,841.7,853.8,2023-06-25 19:53:14.791367,1
