time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-09 21:00:00,20.2,65,1009.8,12.0,22.8,25.4,27.0,57,59,58,59,291.8,45.7,2023-06-09 20:18:00,1
2023-06-09 22:00:00,18.9,71,1009.8,12.5,24.6,28.4,31.4,51,51,52,53,3.5,0.0,2023-06-09 20:18:00,1
2023-06-09 23:00:00,17.8,76,1009.8,12.5,24.3,27.7,31.2,51,50,51,54,0.0,0.0,2023-06-09 20:18:00,1
2023-06-10 00:00:00,16.8,80,1009.6,12.2,22.9,26.3,29.6,45,46,48,53,0.0,0.0,2023-06-09 20:18:00,1
2023-06-10 01:00:00,16.1,82,1009.8,10.7,20.9,25.5,29.5,45,45,46,55,0.0,0.0,2023-06-09 20:18:00,1
2023-06-10 02:00:00,15.5,83,1009.7,10.4,21.4,27.0,30.9,46,45,48,58,0.0,0.0,2023-06-09 20:18:00,1
2023-06-10 03:00:00,15.1,83,1009.6,8.2,17.8,23.3,27.7,49,48,52,62,0.0,0.0,2023-06-09 20:18:00,1
2023-06-10 04:00:00,14.8,84,1009.3,8.4,20.7,25.2,28.2,47,49,56,67,0.0,0.0,2023-06-09 20:18:00,1
2023-06-10 05:00:00,14.6,85,1009.0,8.7,21.7,25.5,28.4,48,48,57,68,0.0,0.0,2023-06-09 20:18:00,1
2023-06-10 06:00:00,14.8,84,1009.2,7.9,19.7,23.9,27.3,51,52,59,69,0.0,125.9,2023-06-09 20:18:00,1
2023-06-10 07:00:00,16.0,79,1009.2,8.3,14.9,20.9,25.8,56,58,63,71,258.4,410.4,2023-06-09 20:18:00,1
2023-06-10 08:00:00,17.8,72,1009.4,10.5,16.1,17.2,25.6,63,63,64,73,507.9,591.0,2023-06-09 20:18:00,1
2023-06-10 09:00:00,20.1,65,1009.5,12.0,18.5,19.9,20.9,69,69,70,71,631.5,667.0,2023-06-09 20:18:00,1
2023-06-10 10:00:00,22.3,60,1009.7,12.7,18.6,19.3,20.0,75,75,76,76,719.0,766.2,2023-06-09 20:18:00,1
2023-06-10 11:00:00,24.3,51,1009.7,12.8,18.2,18.9,19.3,80,81,81,81,772.3,765.2,2023-06-09 20:18:00,1
2023-06-10 12:00:00,25.7,46,1009.5,13.4,19.1,19.9,20.6,85,86,86,86,743.0,705.2,2023-06-09 20:18:00,1
2023-06-10 13:00:00,26.8,45,1009.5,14.4,20.6,21.3,22.0,86,86,87,87,607.0,527.3,2023-06-09 20:18:00,1
2023-06-10 14:00:00,27.7,43,1009.4,16.0,23.5,24.3,24.9,82,84,84,85,613.0,725.7,2023-06-09 20:18:00,1
2023-06-10 15:00:00,28.0,41,1009.5,18.0,27.0,28.1,28.8,87,88,88,89,786.7,832.5,2023-06-09 20:18:00,1
2023-06-10 16:00:00,27.7,45,1009.4,17.6,27.0,28.1,28.8,89,90,91,91,836.9,828.7,2023-06-09 20:18:00,1
2023-06-10 17:00:00,27.4,46,1009.2,16.9,26.3,27.7,28.4,89,90,91,91,810.6,785.0,2023-06-09 20:18:00,1
2023-06-10 18:00:00,26.7,45,1009.1,17.3,28.1,29.9,31.3,90,91,92,92,746.3,699.9,2023-06-09 20:18:00,1
2023-06-10 19:00:00,25.4,43,1009.4,16.9,28.4,30.6,31.7,90,90,90,90,642.5,581.1,2023-06-09 20:18:00,1
2023-06-10 20:00:00,23.8,49,1009.8,13.7,24.1,26.6,28.8,88,90,90,90,533.1,471.4,2023-06-09 20:18:00,1
2023-06-10 21:00:00,22.0,58,1010.4,12.7,23.2,25.4,27.6,83,84,83,83,289.8,45.9,2023-06-09 20:18:00,1
2023-06-10 22:00:00,20.5,62,1010.7,10.0,19.5,22.0,23.8,75,78,79,80,3.6,0.0,2023-06-09 20:18:00,1
2023-06-10 23:00:00,19.3,64,1010.9,10.0,19.4,22.1,25.7,64,68,71,75,0.0,0.0,2023-06-09 20:18:00,1
2023-06-11 00:00:00,18.5,66,1010.9,7.8,17.2,20.5,26.3,77,74,75,81,0.0,0.0,2023-06-09 20:18:00,1
2023-06-11 01:00:00,17.6,70,1010.6,5.5,12.6,14.9,18.6,58,70,75,81,0.0,0.0,2023-06-09 20:18:00,1
2023-06-11 02:00:00,17.2,71,1010.1,4.8,11.6,14.2,18.1,42,54,63,73,0.0,0.0,2023-06-09 20:18:00,1
2023-06-11 03:00:00,17.1,70,1009.6,6.1,13.9,16.9,20.3,45,53,61,70,0.0,0.0,2023-06-09 20:18:00,1
2023-06-11 04:00:00,17.0,70,1009.6,4.6,11.8,15.2,19.2,45,59,68,77,0.0,0.0,2023-06-09 20:18:00,1
2023-06-11 05:00:00,16.8,72,1009.8,3.3,6.0,7.0,9.6,354,33,55,77,0.0,0.0,2023-06-09 20:18:00,1
2023-06-11 06:00:00,17.0,73,1009.9,3.2,7.4,8.2,8.9,27,39,52,69,0.0,45.6,2023-06-09 20:18:00,1
2023-06-11 07:00:00,17.6,71,1010.1,4.3,7.9,10.2,11.2,48,51,58,69,81.0,120.8,2023-06-09 20:18:00,1
2023-06-11 08:00:00,18.5,67,1010.2,4.5,5.8,6.1,8.7,61,60,62,73,134.6,157.5,2023-06-09 20:18:00,1
2023-06-11 09:00:00,20.0,63,1010.4,3.5,4.3,4.3,4.3,66,66,66,66,244.9,335.2,2023-06-09 20:18:00,1
2023-06-11 10:00:00,21.8,57,1010.5,1.9,2.4,2.4,2.7,68,63,63,67,362.6,374.5,2023-06-09 20:18:00,1
2023-06-11 11:00:00,23.6,52,1010.5,1.1,1.6,1.6,1.6,72,63,63,63,373.8,358.1,2023-06-09 20:18:00,1
2023-06-11 12:00:00,24.7,50,1010.4,1.5,1.8,1.8,2.2,104,101,101,99,294.3,220.6,2023-06-09 20:18:00,1
2023-06-11 13:00:00,25.3,50,1010.3,2.3,3.1,3.1,3.1,129,135,135,135,156.5,112.3,2023-06-09 20:18:00,1
2023-06-11 14:00:00,26.5,48,1010.3,2.3,3.1,3.4,3.9,129,126,122,124,168.4,234.9,2023-06-09 20:18:00,1
2023-06-11 15:00:00,27.0,49,1010.2,8.5,11.5,12.0,12.5,144,141,141,141,240.6,227.7,2023-06-09 20:18:00,1
2023-06-11 16:00:00,27.2,48,1009.9,8.6,12.5,13.3,13.6,147,147,147,148,179.6,130.3,2023-06-09 20:18:00,1
2023-06-11 17:00:00,26.5,56,1010.1,6.8,8.7,8.6,9.0,183,185,182,182,126.3,336.1,2023-06-09 20:18:00,1
2023-06-11 18:00:00,26.4,54,1009.8,4.8,6.2,6.5,6.5,193,187,186,183,299.7,264.5,2023-06-09 20:18:00,1
2023-06-11 19:00:00,25.9,54,1009.8,6.4,8.9,8.8,8.8,196,194,192,192,271.4,275.1,2023-06-09 20:18:00,1
2023-06-11 20:00:00,24.5,67,1009.9,8.9,13.0,13.0,12.7,207,208,208,209,225.0,163.3,2023-06-09 20:18:00,1
2023-06-11 21:00:00,23.0,71,1010.6,8.0,13.2,13.7,13.7,216,215,215,215,97.1,16.2,2023-06-09 20:18:00,1
2023-06-11 22:00:00,21.9,75,1010.9,6.2,11.1,11.6,11.7,216,216,216,223,1.2,0.0,2023-06-09 20:18:00,1
2023-06-11 23:00:00,21.2,79,1011.1,4.4,8.7,10.4,8.5,215,218,226,242,0.0,0.0,2023-06-09 20:18:00,1
