time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-09 20:00:00,21.3,60,1009.4,14.5,24.5,26.5,27.8,67,70,69,69,565.3,474.2,2023-06-09 19:19:00,1
2023-06-09 21:00:00,20.2,65,1009.8,12.0,23.7,26.6,29.0,57,66,65,65,291.8,45.7,2023-06-09 19:19:00,1
2023-06-09 22:00:00,18.9,71,1009.8,12.5,23.6,27.6,31.3,51,59,59,61,3.5,0.0,2023-06-09 19:19:00,1
2023-06-09 23:00:00,17.8,76,1009.8,12.5,23.6,27.6,32.0,51,52,54,59,0.0,0.0,2023-06-09 19:19:00,1
2023-06-10 00:00:00,16.8,80,1009.6,12.2,19.9,23.3,28.8,45,49,51,58,0.0,0.0,2023-06-09 19:19:00,1
2023-06-10 01:00:00,16.1,82,1009.8,10.7,19.9,23.9,28.3,45,49,53,63,0.0,0.0,2023-06-09 19:19:00,1
2023-06-10 02:00:00,15.5,83,1009.7,10.4,19.9,25.0,29.3,46,48,54,64,0.0,0.0,2023-06-09 19:19:00,1
2023-06-10 03:00:00,15.1,83,1009.6,8.2,17.1,21.5,25.3,49,49,55,66,0.0,0.0,2023-06-09 19:19:00,1
2023-06-10 04:00:00,14.8,84,1009.3,8.4,19.2,22.3,25.7,47,50,59,70,0.0,0.0,2023-06-09 19:19:00,1
2023-06-10 05:00:00,14.6,85,1009.0,8.7,20.7,24.0,27.0,48,51,60,71,0.0,0.0,2023-06-09 19:19:00,1
2023-06-10 06:00:00,14.8,84,1009.2,7.9,20.7,24.5,27.4,51,55,64,73,0.0,125.9,2023-06-09 19:19:00,1
2023-06-10 07:00:00,16.0,79,1009.2,8.3,16.3,21.6,26.4,56,59,66,76,258.4,410.4,2023-06-09 19:19:00,1
2023-06-10 08:00:00,17.8,72,1009.4,10.5,13.8,14.5,22.1,63,62,63,74,507.9,591.0,2023-06-09 19:19:00,1
2023-06-10 09:00:00,20.1,65,1009.5,12.0,14.2,14.9,15.7,69,69,70,70,631.5,667.0,2023-06-09 19:19:00,1
2023-06-10 10:00:00,22.3,60,1009.7,12.7,16.1,16.8,17.2,75,74,75,74,719.0,766.2,2023-06-09 19:19:00,1
2023-06-10 11:00:00,24.3,51,1009.7,12.8,17.5,18.2,18.9,80,82,81,81,772.3,765.2,2023-06-09 19:19:00,1
2023-06-10 12:00:00,25.7,46,1009.5,13.4,19.1,19.8,20.5,85,86,87,87,743.0,705.2,2023-06-09 19:19:00,1
2023-06-10 13:00:00,26.8,45,1009.5,14.4,20.5,21.3,22.0,86,88,88,88,607.0,527.3,2023-06-09 19:19:00,1
2023-06-10 14:00:00,27.7,43,1009.4,16.0,23.8,24.5,25.2,82,87,87,88,613.0,725.7,2023-06-09 19:19:00,1
2023-06-10 15:00:00,28.0,41,1009.5,18.0,26.0,27.4,28.1,87,86,86,87,786.7,832.5,2023-06-09 19:19:00,1
2023-06-10 16:00:00,27.7,45,1009.4,17.6,28.8,30.2,31.3,89,91,91,92,836.9,828.7,2023-06-09 19:19:00,1
2023-06-10 17:00:00,27.4,46,1009.2,16.9,26.3,27.7,28.8,89,88,89,89,810.6,785.0,2023-06-09 19:19:00,1
2023-06-10 18:00:00,26.7,45,1009.1,17.3,26.6,28.1,29.2,90,89,89,89,746.3,699.9,2023-06-09 19:19:00,1
2023-06-10 19:00:00,25.4,43,1009.4,16.9,26.3,28.8,30.6,90,91,91,91,642.5,581.1,2023-06-09 19:19:00,1
2023-06-10 20:00:00,23.8,49,1009.8,13.7,22.7,25.2,27.4,88,91,91,91,533.1,471.4,2023-06-09 19:19:00,1
2023-06-10 21:00:00,22.0,58,1010.4,12.7,20.9,23.0,24.9,83,89,89,88,289.8,45.9,2023-06-09 19:19:00,1
2023-06-10 22:00:00,20.5,62,1010.7,10.0,18.9,21.8,24.3,75,81,81,83,3.6,0.0,2023-06-09 19:19:00,1
2023-06-10 23:00:00,19.3,64,1010.9,10.0,18.3,20.7,26.6,64,75,77,81,0.0,0.0,2023-06-09 19:19:00,1
2023-06-11 00:00:00,18.5,66,1010.9,7.8,12.4,14.6,19.8,77,80,81,87,0.0,0.0,2023-06-09 19:19:00,1
2023-06-11 01:00:00,17.6,70,1010.6,5.5,7.4,9.2,12.7,58,61,69,82,0.0,0.0,2023-06-09 19:19:00,1
2023-06-11 02:00:00,17.2,71,1010.1,4.8,2.4,4.3,6.8,42,117,114,115,0.0,0.0,2023-06-09 19:19:00,1
2023-06-11 03:00:00,17.1,70,1009.6,6.1,13.0,12.1,8.9,45,48,60,76,0.0,0.0,2023-06-09 19:19:00,1
2023-06-11 04:00:00,17.0,70,1009.6,4.6,14.5,16.1,13.3,45,42,50,57,0.0,0.0,2023-06-09 19:19:00,1
2023-06-11 05:00:00,16.8,72,1009.8,3.3,14.6,18.0,18.5,354,50,53,61,0.0,0.0,2023-06-09 19:19:00,1
2023-06-11 06:00:00,17.0,73,1009.9,3.2,12.5,15.3,17.0,27,44,49,58,0.0,45.6,2023-06-09 19:19:00,1
