time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-11 20:00:00,23.3,66,1010.9,6.6,11.5,12.0,12.0,229,250,249,249,3.6,4.3,2023-06-11 19:18:00,1
2023-06-11 21:00:00,22.3,70,1011.3,4.8,7.6,8.2,8.5,257,251,247,242,14.0,8.1,2023-06-11 19:18:00,1
2023-06-11 22:00:00,21.4,73,1011.5,4.0,7.6,8.2,8.6,243,262,255,248,0.7000000000000001,0.0,2023-06-11 19:18:00,1
2023-06-11 23:00:00,20.6,76,1011.2,3.1,6.4,7.1,7.0,315,286,285,282,0.0,0.0,2023-06-11 19:18:00,1
2023-06-12 00:00:00,19.8,79,1011.3,2.2,9.2,5.4,3.3,279,64,53,6,0.0,0.0,2023-06-11 19:18:00,1
2023-06-12 01:00:00,19.3,82,1011.2,4.0,10.5,8.9,6.9,63,52,58,47,0.0,0.0,2023-06-11 19:18:00,1
2023-06-12 02:00:00,18.8,78,1011.3,4.5,12.2,14.4,13.1,76,66,68,69,0.0,0.0,2023-06-11 19:18:00,1
2023-06-12 03:00:00,18.4,79,1011.2,3.7,10.4,12.8,14.0,79,70,68,67,0.0,0.0,2023-06-11 19:18:00,1
2023-06-12 04:00:00,17.8,79,1011.0,4.7,8.7,10.5,12.3,81,73,74,75,0.0,0.0,2023-06-11 19:18:00,1
2023-06-12 05:00:00,17.3,81,1010.9,4.0,8.0,9.9,11.6,90,100,100,97,0.0,0.0,2023-06-11 19:18:00,1
2023-06-12 06:00:00,17.5,81,1010.9,5.3,7.3,8.7,10.3,62,81,95,102,0.0,56.6,2023-06-11 19:18:00,1
2023-06-12 07:00:00,18.1,78,1011.2,4.5,1.8,4.0,5.4,76,101,117,143,154.1,267.0,2023-06-11 19:18:00,1
2023-06-12 08:00:00,19.6,72,1011.5,1.1,1.6,2.1,2.1,162,207,211,211,348.7,411.8,2023-06-11 19:18:00,1
2023-06-12 09:00:00,21.3,69,1011.8,3.9,4.3,4.3,4.7,214,246,246,247,394.3,369.3,2023-06-11 19:18:00,1
2023-06-12 10:00:00,23.0,65,1011.9,3.7,3.1,3.4,3.4,241,249,252,252,396.4,432.5,2023-06-11 19:18:00,1
2023-06-12 11:00:00,24.7,60,1011.7,0.8,0.8,1.1,1.1,207,207,198,198,464.2,485.6,2023-06-11 19:18:00,1
2023-06-12 12:00:00,26.2,55,1011.4,7.0,3.9,4.3,4.3,125,112,114,114,451.2,413.4,2023-06-11 19:18:00,1
2023-06-12 13:00:00,27.7,48,1011.2,11.0,8.4,8.9,9.2,131,133,133,132,415.1,442.0,2023-06-11 19:18:00,1
2023-06-12 14:00:00,28.8,43,1011.0,11.5,11.8,12.5,13.0,136,140,139,138,558.2,664.0,2023-06-11 19:18:00,1
2023-06-12 15:00:00,29.2,43,1010.7,11.6,17.1,17.7,18.2,112,129,129,129,607.6,522.1,2023-06-11 19:18:00,1
2023-06-12 16:00:00,29.0,46,1010.6,14.7,20.1,20.9,21.4,101,137,138,138,472.5,421.9,2023-06-11 19:18:00,1
2023-06-12 17:00:00,28.0,50,1010.3,10.6,17.5,17.9,18.3,162,172,171,170,357.6,286.7,2023-06-11 19:18:00,1
2023-06-12 18:00:00,27.6,51,1010.5,7.8,9.7,9.7,10.1,146,182,180,178,205.3,134.8,2023-06-11 19:18:00,1
2023-06-12 19:00:00,26.5,51,1010.8,11.7,13.5,14.3,14.3,101,99,100,102,137.9,159.3,2023-06-11 19:18:00,1
2023-06-12 20:00:00,24.3,54,1011.3,13.0,21.3,22.4,23.1,93,94,95,95,196.5,222.3,2023-06-11 19:18:00,1
2023-06-12 21:00:00,22.5,56,1011.6,10.5,19.9,20.9,22.3,84,85,86,87,144.4,25.5,2023-06-11 19:18:00,1
2023-06-12 22:00:00,21.1,54,1011.8,8.7,19.1,23.4,30.2,85,88,88,89,2.3,0.0,2023-06-11 19:18:00,1
2023-06-12 23:00:00,19.9,59,1012.0,7.9,15.7,20.2,25.6,74,81,86,90,0.0,0.0,2023-06-11 19:18:00,1
2023-06-13 00:00:00,18.9,64,1012.2,7.9,15.7,18.8,22.7,60,70,73,80,0.0,0.0,2023-06-11 19:18:00,1
2023-06-13 01:00:00,18.0,63,1011.9,7.3,18.1,21.7,26.4,57,67,71,76,0.0,0.0,2023-06-11 19:18:00,1
2023-06-13 02:00:00,17.3,61,1011.5,5.6,18.3,21.8,25.3,50,54,59,66,0.0,0.0,2023-06-11 19:18:00,1
2023-06-13 03:00:00,16.6,60,1011.2,4.8,17.8,20.4,23.5,42,42,48,54,0.0,0.0,2023-06-11 19:18:00,1
2023-06-13 04:00:00,16.0,64,1010.8,5.0,19.8,23.6,26.0,30,29,34,42,0.0,0.0,2023-06-11 19:18:00,1
2023-06-13 05:00:00,15.5,65,1010.8,6.9,21.3,25.9,28.8,47,37,39,43,0.0,0.0,2023-06-11 19:18:00,1
2023-06-13 06:00:00,15.9,56,1010.9,8.4,20.4,28.8,33.2,31,26,24,30,0.0,214.1,2023-06-11 19:18:00,1
2023-06-13 07:00:00,16.4,55,1011.1,10.0,17.6,18.9,29.0,30,31,31,32,317.2,438.6,2023-06-11 19:18:00,1
2023-06-13 08:00:00,17.5,57,1011.3,10.9,17.5,18.8,19.3,27,32,32,33,527.7,608.1,2023-06-11 19:18:00,1
2023-06-13 09:00:00,19.5,55,1011.3,12.0,16.9,17.7,18.2,33,38,39,39,657.9,692.7,2023-06-11 19:18:00,1
2023-06-13 10:00:00,21.8,51,1011.1,12.6,20.7,21.7,22.5,37,49,48,49,678.8,661.4,2023-06-11 19:18:00,1
2023-06-13 11:00:00,24.0,49,1010.9,15.6,24.5,25.6,26.4,52,60,61,61,686.2,709.0,2023-06-11 19:18:00,1
2023-06-13 12:00:00,25.9,43,1010.7,16.1,28.0,29.4,30.5,63,77,78,78,679.3,644.4,2023-06-11 19:18:00,1
2023-06-13 13:00:00,27.3,30,1010.8,18.8,36.0,38.2,39.6,86,89,89,89,633.7,642.0,2023-06-11 19:18:00,1
2023-06-13 14:00:00,27.6,26,1010.9,20.2,27.2,28.3,29.1,91,72,72,72,720.1,805.4,2023-06-11 19:18:00,1
2023-06-13 15:00:00,27.9,21,1011.1,20.0,27.9,29.0,29.8,82,79,79,78,837.4,857.8,2023-06-11 19:18:00,1
2023-06-13 16:00:00,27.3,21,1011.2,19.2,27.0,28.1,28.8,85,77,77,77,866.2,870.4,2023-06-11 19:18:00,1
2023-06-13 17:00:00,27.0,24,1010.6,17.0,27.7,28.8,29.3,69,69,70,69,870.9,836.0,2023-06-11 19:18:00,1
2023-06-13 18:00:00,26.0,27,1010.6,16.6,27.3,28.9,29.7,68,69,69,69,808.7,774.7,2023-06-11 19:18:00,1
2023-06-13 19:00:00,25.0,30,1010.9,15.6,27.1,28.7,29.5,67,68,68,68,727.9,671.4,2023-06-11 19:18:00,1
2023-06-13 20:00:00,24.0,32,1011.2,14.5,27.2,29.6,30.9,63,64,64,64,600.3,514.0,2023-06-11 19:18:00,1
2023-06-13 21:00:00,22.6,35,1011.8,11.5,24.4,28.1,31.0,58,59,59,59,334.8,71.3,2023-06-11 19:18:00,1
2023-06-13 22:00:00,20.8,45,1012.5,11.4,24.8,29.3,33.3,55,57,58,59,6.9,0.0,2023-06-11 19:18:00,1
2023-06-13 23:00:00,19.1,47,1013.0,11.0,23.3,26.7,30.5,52,55,55,57,0.0,0.0,2023-06-11 19:18:00,1
