time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-11 19:00:00,25.8,47,1010.0,6.7,9.4,9.7,9.9,234,230,228,226,63.7,125.8,2023-06-11 18:03:00,1
2023-06-11 20:00:00,24.7,61,1010.4,7.6,11.5,12.0,12.0,251,250,249,249,98.8,55.9,2023-06-11 18:03:00,1
2023-06-11 21:00:00,23.8,67,1010.6,4.5,7.6,8.2,8.5,256,251,247,242,23.9,0.0,2023-06-11 18:03:00,1
2023-06-11 22:00:00,22.6,72,1011.2,3.6,7.6,8.2,8.6,270,262,255,248,0.0,0.0,2023-06-11 18:03:00,1
2023-06-11 23:00:00,21.6,74,1011.3,2.3,6.4,7.1,7.0,309,286,285,282,0.0,0.0,2023-06-11 18:03:00,1
2023-06-12 00:00:00,20.2,71,1011.4,5.0,9.2,5.4,3.3,60,64,53,6,0.0,0.0,2023-06-11 18:03:00,1
2023-06-12 01:00:00,19.3,70,1011.2,5.4,10.5,8.9,6.9,48,52,58,47,0.0,0.0,2023-06-11 18:03:00,1
2023-06-12 02:00:00,18.9,72,1011.1,5.4,12.2,14.4,13.1,70,66,68,69,0.0,0.0,2023-06-11 18:03:00,1
2023-06-12 03:00:00,18.7,73,1010.7,5.0,10.4,12.8,14.0,69,70,68,67,0.0,0.0,2023-06-11 18:03:00,1
2023-06-12 04:00:00,18.3,75,1010.7,4.0,8.7,10.5,12.3,63,73,74,75,0.0,0.0,2023-06-11 18:03:00,1
2023-06-12 05:00:00,17.8,78,1010.9,3.3,8.0,9.9,11.6,96,100,100,97,0.0,0.0,2023-06-11 18:03:00,1
2023-06-12 06:00:00,17.8,79,1010.9,3.3,7.3,8.7,10.3,49,81,95,102,0.0,124.6,2023-06-11 18:03:00,1
2023-06-12 07:00:00,18.5,76,1010.9,1.5,1.8,4.0,5.4,104,101,117,143,145.9,172.3,2023-06-11 18:03:00,1
2023-06-12 08:00:00,19.6,71,1011.1,1.3,1.6,2.1,2.1,214,207,211,211,186.4,225.6,2023-06-11 18:03:00,1
2023-06-12 09:00:00,21.3,66,1011.3,3.5,4.3,4.3,4.7,246,246,246,247,387.3,563.5,2023-06-11 18:03:00,1
2023-06-12 10:00:00,23.1,62,1011.5,2.6,3.1,3.4,3.4,254,249,252,252,651.8,721.3,2023-06-11 18:03:00,1
2023-06-12 11:00:00,24.9,58,1011.2,0.8,0.8,1.1,1.1,207,207,198,198,768.0,802.7,2023-06-11 18:03:00,1
2023-06-12 12:00:00,26.7,53,1011.0,3.1,3.9,4.3,4.3,111,112,114,114,806.7,800.4,2023-06-11 18:03:00,1
2023-06-12 13:00:00,28.3,46,1010.7,6.9,8.4,8.9,9.2,133,133,133,132,784.1,756.9,2023-06-11 18:03:00,1
2023-06-12 14:00:00,29.1,44,1010.5,9.2,11.8,12.5,13.0,141,140,139,138,695.0,633.1,2023-06-11 18:03:00,1
2023-06-12 15:00:00,29.5,41,1010.3,12.5,17.1,17.7,18.2,129,129,129,129,621.2,615.5,2023-06-11 18:03:00,1
2023-06-12 16:00:00,29.6,43,1010.0,14.0,20.1,20.9,21.4,138,137,138,138,600.8,566.5,2023-06-11 18:03:00,1
2023-06-12 17:00:00,28.2,52,1009.9,12.3,17.5,17.9,18.3,173,172,171,170,446.0,323.4,2023-06-11 18:03:00,1
2023-06-12 18:00:00,27.5,53,1010.3,7.2,9.7,9.7,10.1,186,182,180,178,305.2,298.1,2023-06-11 18:03:00,1
2023-06-12 19:00:00,26.8,51,1010.4,8.8,13.5,14.3,14.3,99,99,100,102,241.2,195.9,2023-06-11 18:03:00,1
2023-06-12 20:00:00,25.0,50,1010.9,13.0,21.3,22.4,23.1,92,94,95,95,266.7,333.4,2023-06-11 18:03:00,1
2023-06-12 21:00:00,23.0,54,1011.3,11.6,19.9,20.9,22.3,83,85,86,87,219.9,39.7,2023-06-11 18:03:00,1
2023-06-12 22:00:00,21.5,52,1011.6,10.1,19.1,23.4,30.2,88,88,88,89,3.9,0.0,2023-06-11 18:03:00,1
2023-06-12 23:00:00,20.2,58,1011.8,7.5,15.7,20.2,25.6,73,81,86,90,0.0,0.0,2023-06-11 18:03:00,1
2023-06-13 00:00:00,19.2,62,1011.9,7.1,15.7,18.8,22.7,66,70,73,80,0.0,0.0,2023-06-11 18:03:00,1
2023-06-13 01:00:00,18.3,63,1011.5,7.4,18.1,21.7,26.4,61,67,71,76,0.0,0.0,2023-06-11 18:03:00,1
2023-06-13 02:00:00,17.7,62,1011.1,7.2,18.3,21.8,25.3,53,54,59,66,0.0,0.0,2023-06-11 18:03:00,1
2023-06-13 03:00:00,16.9,61,1010.6,6.6,17.8,20.4,23.5,41,42,48,54,0.0,0.0,2023-06-11 18:03:00,1
2023-06-13 04:00:00,16.2,61,1010.2,6.8,19.8,23.6,26.0,32,29,34,42,0.0,0.0,2023-06-11 18:03:00,1
