time,temperature_2m,relativehumidity_2m,surface_pressure,windspeed_10m,windspeed_80m,windspeed_120m,windspeed_180m,winddirection_10m,winddirection_80m,winddirection_120m,winddirection_180m,direct_normal_irradiance,direct_normal_irradiance_instant,api_called_at,customer_id
2023-06-13 19:00:00,25.2,27,1010.7,16.2,27.5,29.4,30.6,77,76,75,75,739.4,692.3,2023-06-13 18:06:00,1
2023-06-13 20:00:00,24.4,31,1011.1,13.2,23.9,26.2,27.6,73,72,72,70,622.5,535.4,2023-06-13 18:06:00,1
2023-06-13 21:00:00,22.4,43,1011.9,11.2,21.9,24.5,26.7,75,73,70,69,349.0,74.2,2023-06-13 18:06:00,1
2023-06-13 22:00:00,20.7,46,1012.4,8.3,19.3,23.2,26.6,56,57,57,57,7.2,0.0,2023-06-13 18:06:00,1
2023-06-13 23:00:00,19.0,49,1012.7,10.0,21.7,25.0,29.3,41,43,44,45,0.0,0.0,2023-06-13 18:06:00,1
2023-06-14 00:00:00,17.3,46,1012.9,9.9,19.6,22.2,23.7,46,47,48,49,0.0,0.0,2023-06-13 18:06:00,1
2023-06-14 01:00:00,15.8,47,1013.1,9.3,18.6,21.6,23.8,36,36,37,39,0.0,0.0,2023-06-13 18:06:00,1
2023-06-14 02:00:00,14.6,54,1013.3,8.2,16.8,21.3,25.7,29,28,30,37,0.0,0.0,2023-06-13 18:06:00,1
2023-06-14 03:00:00,13.5,63,1013.2,9.2,18.2,24.6,29.1,26,25,25,34,0.0,0.0,2023-06-13 18:06:00,1
2023-06-14 04:00:00,12.8,72,1013.1,10.0,19.7,26.3,32.5,26,24,23,31,0.0,0.0,2023-06-13 18:06:00,1
2023-06-14 05:00:00,12.2,79,1012.9,9.7,19.0,24.5,32.9,27,25,24,30,0.0,0.0,2023-06-13 18:06:00,1
2023-06-14 06:00:00,12.3,82,1013.2,9.7,17.9,21.6,31.1,31,30,30,35,0.0,201.8,2023-06-13 18:06:00,1
2023-06-14 07:00:00,13.4,78,1013.6,8.6,13.8,14.6,24.1,33,33,33,38,310.7,437.9,2023-06-13 18:06:00,1
2023-06-14 08:00:00,15.5,70,1013.8,8.6,12.4,13.2,13.9,33,36,35,37,526.4,607.6,2023-06-13 18:06:00,1
2023-06-14 09:00:00,18.1,61,1013.8,8.9,12.2,12.7,13.0,43,43,43,44,667.3,720.9,2023-06-13 18:06:00,1
2023-06-14 10:00:00,20.9,54,1013.8,10.4,14.0,14.8,15.3,56,55,56,56,760.2,795.5,2023-06-13 18:06:00,1
2023-06-14 11:00:00,23.4,48,1013.8,10.6,14.7,15.0,15.5,62,62,63,62,822.5,846.8,2023-06-13 18:06:00,1
2023-06-14 12:00:00,25.5,42,1013.7,12.4,17.1,17.8,18.2,73,72,72,72,863.4,877.5,2023-06-13 18:06:00,1
2023-06-14 13:00:00,26.8,38,1013.6,14.2,19.6,20.4,20.7,83,83,82,82,886.4,893.3,2023-06-13 18:06:00,1
2023-06-14 14:00:00,27.4,32,1013.7,15.5,22.0,22.7,23.1,91,92,92,92,896.7,898.6,2023-06-13 18:06:00,1
2023-06-14 15:00:00,27.5,27,1013.8,16.7,24.3,25.0,25.7,96,96,96,96,898.0,895.2,2023-06-13 18:06:00,1
2023-06-14 16:00:00,27.0,25,1013.8,17.1,25.5,26.6,26.9,98,98,99,98,886.5,874.6,2023-06-13 18:06:00,1
2023-06-14 17:00:00,26.5,24,1013.7,17.0,25.7,26.8,27.6,96,96,96,97,858.2,837.7,2023-06-13 18:06:00,1
2023-06-14 18:00:00,25.8,26,1013.8,16.2,25.6,26.7,27.4,91,92,92,92,810.3,776.8,2023-06-13 18:06:00,1
2023-06-14 19:00:00,24.8,30,1014.2,14.9,23.9,25.4,26.1,83,83,83,83,733.5,679.6,2023-06-13 18:06:00,1
